date,activity
2019-01-01 00:30:00,38.770504
2019-01-01 00:31:00,39.526608
2019-01-01 00:32:00,39.578857
2019-01-01 00:33:00,39.578857
2019-01-01 00:34:00,39.56596
2019-01-01 00:35:00,39.51847
2019-01-01 00:36:00,39.577354
2019-01-01 00:37:00,39.577354
2019-01-01 00:38:00,39.644833
2019-01-01 00:39:00,39.644833
2019-01-01 00:40:00,39.62908
2019-01-01 00:41:00,39.793545
2019-01-01 00:42:00,39.785774
2019-01-01 00:43:00,39.800686
2019-01-01 00:44:00,39.809917
2019-01-01 00:45:00,39.795017
2019-01-01 00:46:00,39.795017
2019-01-01 00:47:00,39.795017
2019-01-01 00:48:00,39.795017
2019-01-01 00:49:00,39.795017
2019-01-01 00:50:00,39.795017
2019-01-01 00:51:00,39.795017
2019-01-01 00:52:00,39.820927
2019-01-01 00:53:00,39.795017
2019-01-01 00:54:00,39.820927
2019-01-01 00:55:00,39.820927
2019-01-01 00:56:00,39.820927
2019-01-01 00:57:00,39.820927
2019-01-01 00:58:00,39.820927
2019-01-01 00:59:00,39.820927
2019-01-01 01:00:00,39.820927
2019-01-01 01:01:00,39.795017
2019-01-01 01:02:00,39.819176
2019-01-01 01:03:00,39.827675
2019-01-01 01:04:00,39.853584
2019-01-01 01:05:00,39.827675
2019-01-01 01:06:00,39.827675
2019-01-01 01:07:00,39.946815
2019-01-01 01:08:00,39.97046
2019-01-01 01:09:00,39.97046
2019-01-01 01:10:00,40.02767
2019-01-01 01:11:00,40.075405
2019-01-01 01:12:00,40.17594
2019-01-01 01:13:00,40.300854
2019-01-01 01:14:00,40.331066
2019-01-01 01:15:00,40.331066
2019-01-01 01:16:00,40.323643
2019-01-01 01:17:00,40.323643
2019-01-01 01:18:00,40.323643
2019-01-01 01:19:00,40.283268
2019-01-01 01:20:00,40.098232
2019-01-01 01:21:00,40.01661
2019-01-01 01:22:00,39.82246
2019-01-01 01:23:00,39.79001
2019-01-01 01:24:00,39.712673
2019-01-01 01:25:00,39.709587
2019-01-01 01:26:00,39.658726
2019-01-01 01:27:00,39.580776
2019-01-01 01:28:00,39.580776
2019-01-01 01:29:00,39.517216
2019-01-01 01:30:00,39.517216
2019-01-01 01:31:00,39.52882
2019-01-01 01:32:00,39.568645
2019-01-01 01:33:00,39.568645
2019-01-01 01:34:00,39.568645
2019-01-01 01:35:00,39.568645
2019-01-01 01:36:00,39.568645
2019-01-01 01:37:00,39.568645
2019-01-01 01:38:00,39.568645
2019-01-01 01:39:00,39.568645
2019-01-01 01:40:00,39.568645
2019-01-01 01:41:00,39.568645
2019-01-01 01:42:00,39.571735
2019-01-01 01:43:00,39.571735
2019-01-01 01:44:00,39.571735
2019-01-01 01:45:00,39.588806
2019-01-01 01:46:00,39.54894
2019-01-01 01:47:00,39.54894
2019-01-01 01:48:00,39.543415
2019-01-01 01:49:00,39.543415
2019-01-01 01:50:00,39.543415
2019-01-01 01:51:00,39.543415
2019-01-01 01:52:00,39.543415
2019-01-01 01:53:00,39.543415
2019-01-01 01:54:00,39.572853
2019-01-01 01:55:00,39.519794
2019-01-01 01:56:00,39.519794
2019-01-01 01:57:00,39.552006
2019-01-01 01:58:00,39.574646
2019-01-01 01:59:00,39.632225
2019-01-01 02:00:00,39.833225
2019-01-01 02:01:00,39.974335
2019-01-01 02:02:00,40.234108
2019-01-01 02:03:00,40.315777
2019-01-01 02:04:00,40.315777
2019-01-01 02:05:00,40.315777
2019-01-01 02:06:00,40.38998
2019-01-01 02:07:00,40.587807
2019-01-01 02:08:00,40.638306
2019-01-01 02:09:00,40.674465
2019-01-01 02:10:00,40.690216
2019-01-01 02:11:00,40.70068
2019-01-01 02:12:00,40.70068
2019-01-01 02:13:00,40.70915
2019-01-01 02:14:00,40.71507
2019-01-01 02:15:00,40.71507
2019-01-01 02:16:00,40.69586
2019-01-01 02:17:00,40.510113
2019-01-01 02:18:00,40.500114
2019-01-01 02:19:00,40.500114
2019-01-01 02:20:00,40.55666
2019-01-01 02:21:00,40.43615
2019-01-01 02:22:00,40.30502
2019-01-01 02:23:00,40.17225
2019-01-01 02:24:00,40.16175
2019-01-01 02:25:00,40.16175
2019-01-01 02:26:00,40.153996
2019-01-01 02:27:00,40.153996
